model,term,estimate,std_error,p_value,exp_estimate,ci_l,ci_u,sig
chain_travelers,desventaja,-0.299824478431503,0.0491502598795457,1.0930753248446e-09,0.740948261669949,-0.396158987795412,-0.203489969067593,***
chain_travelers,hay_menores12,0.175489493769341,0.0408949905546109,1.79120826943028e-05,1.1918294669502,0.0953353122823041,0.255643675256379,***
chain_travelers,edad,0.0107949816299625,0.00390828118069438,0.00575241603906052,1.01085345767066,0.00313475051580147,0.0184552127441234,***
chain_travelers,I(edad^2),-3.22521543509619e-05,4.72765799190405e-05,0.495125038522775,0.999967748365744,-0.000124914250992281,6.04099422903575e-05,""
chain_travelers,trabaja,0.116751606310092,0.0336101072014509,0.000515181351605508,1.12384024019339,0.0508757961952484,0.182627416424936,***
chain_travelers,niv_f1,0.175734451188242,0.158703490320285,0.268181346229097,1.19212145018046,-0.135324389839516,0.486793292216,""
chain_travelers,niv_f2,-0.0700638383563279,0.117948523717505,0.552509897775901,0.932334299316904,-0.301242944842638,0.161115268129983,""
chain_travelers,niv_f3,0.0141906644456809,0.118051700100885,0.904321076856226,1.01429182989293,-0.217190667752054,0.245571996643416,""
chain_travelers,niv_f4,0.450460444321075,0.134450122170088,0.000809527955283898,1.5690344722033,0.186938204867704,0.713982683774447,***
chain_travelers,niv_f5,0.146184964956502,0.300915177878723,0.627117193136001,1.15741024858962,-0.443608783685795,0.735978713598799,""
chain_travelers,niv_f6,0.240577588044692,0.118593774812808,0.0425231428090178,1.2719836207227,0.00813378941158877,0.473021386677795,**
chain_travelers,niv_f7,0.442390464634248,0.130958679773194,0.000732286216070528,1.55642335007547,0.185711452278789,0.699069476989708,***
chain_travelers,niv_f8,0.715096846612034,0.119427426448287,2.19058392447112e-09,2.04438466439989,0.481019090773392,0.949174602450676,***
chain_travelers,niv_f9,1.19650751758456,0.136157289176522,1.73883030455185e-18,3.30854169766736,0.929639230798579,1.46337580437055,***
chain_travelers,niv_fNo especificado,-0.536889648304649,0.631042789524181,0.394899237818891,0.584563626150639,-1.77373351577204,0.699954219162745,""
chain_travelers,adultos_65mas,-0.17841987935527,0.0291181343502685,9.21690127967805e-10,0.83659108240919,-0.235491422681797,-0.121348336028744,***
chain_travelers,jefa_mujer,0.0801427200410428,0.0336179734340133,0.01714494517389,1.08344168548299,0.0142514921103767,0.146033947971709,**
chain_travelers,ent_f13,-0.647270210619765,0.271454752689796,0.0171205167243316,0.523472798626832,-1.17932152589176,-0.115218895347765,**
chain_travelers,ent_f15,-0.424329300917025,0.0340956725986773,2.48261103516098e-35,0.654208415003095,-0.491156819210433,-0.357501782623618,***
chain_travelers,mujer:desventaja,0.296549029581295,0.0511020638088984,6.67983630412695e-09,1.34520851339057,0.196388984515854,0.396709074646736,***
chain_travelers,mujer:hay_menores12,0.351488416848776,0.0454264122136356,1.09677823177495e-14,1.42118128531258,0.262452648910051,0.440524184787502,***
