distrito,pct_chain_total,pct_chain_mujer,pct_chain_hombre,pct_desventaja,tiempo_med_dist,n_viajeros,brecha_genero
26,9.9040554704507,10.0296828620528,9.77007664111963,0,44.3660207939509,737,0.259606220933177
27,6.56424778761062,7.65671013883046,5.28947933605375,0,50.196287470212,807,2.36723080277671
28,8.73810760933833,11.1257766474584,5.74141414141414,0,48.2036122661123,671,5.38436250604425
29,9.10890084238303,10.4182106934886,7.90371308839294,0,49.22975790429,778,2.51449760509567
30,7.8298634875994,9.15925701782971,6.3026445971602,0,50.9622506715437,794,2.85661242066951
31,4.99576629974598,5.00294894479063,4.98878644405682,0,53.7248648353449,778,0.0141625007338098
32,4.91714043788557,5.14149986965212,4.67212855470851,0,48.1253871778388,645,0.46937131494361
33,6.86239830208702,6.64194112884269,7.06892754899802,0,50.5942132236343,781,-0.42698642015533
11,10.9301869952326,11.1236045297566,10.7012122652722,0,47.9470819091024,655,0.422392264484481
12,6.73435637090881,7.62920123427135,5.763486558547,0,44.1115358020897,846,1.86571467572435
13,12.5333151096836,15.1840953674362,9.68936557725387,0,45.218026840769,717,5.49472979018238
35,9.33056259723869,11.6911946065938,6.67575876655648,0,54.3866731874312,776,5.01543584003728
37,6.95356249444452,7.21416049863654,6.66949759813159,0,50.848025487526,810,0.544662900504956
38,3.28013828033927,3.62461220268873,2.90951572974326,0,44.8421052631579,826,0.715096472945467
39,7.19395209961248,8.20774962023485,6.06467554791577,0,50.4565939660254,910,2.14307407231908
40,9.69520928427055,11.0859152058704,8.15589836148792,0,40.8863566289825,806,2.93001684438245
41,5.24285012744663,5.33167281528303,5.15487909888524,0,54.1307825115523,868,0.176793716397789
42,4.34077342330651,4.07606414238939,4.62211118051218,0,57.5725365250383,727,-0.546047038122792
73,5.7703488372093,6.88974631896399,4.63196824824103,0,57.2229490447297,855,2.25777807072296
77,7.25187673675916,10.1781019589239,4.02355250245339,0.46348139853179,58.2557530690368,857,6.15454945647049
78,1.7385314032432,1.53016113607247,1.94885618534169,0,60.3303016522662,881,-0.418695049269221
79,4.28166214621421,4.78343988324049,3.77260119705533,68.3937555642974,62.4227475800447,1003,1.01083868618516
80,4.95949359737507,4.84340859431901,5.07791877676319,62.4882642740304,71.4171617161716,985,-0.234510182444184
81,2.89459742777596,4.23753307098868,1.51355800448123,76.521974367934,66.5561411138684,941,2.72397506650746
82,4.052708486894,5.08379173596009,2.99900643204518,0,59.4267999459679,892,2.08478530391491
83,2.62428246507094,3.07760927743087,2.15258132956153,0,57.4338940418173,841,0.925027947869338
84,5.48729346640946,8.24511016540534,2.72843571084034,0,47.5079348911117,878,5.516674454565
85,3.91130228418867,5.40895447723862,2.55954396658765,0,57.0771707845317,789,2.84941051065097
52,10.6772987459882,11.0079689855697,10.3302515879654,0,54.3206602536074,782,0.677717397604305
62,9.69196370826173,11.0687766928352,8.19225943441753,55.0520169262893,65.3187029399523,895,2.87651725841772
63,7.0335141115213,6.50295588904047,7.56923969259027,0,53.4695887997775,757,-1.06628380354979
65,9.36304154316286,9.83677948682216,8.83562175160965,50.4547081333566,65.9634646570638,964,1.00115773521251
71,6.35901063916628,7.58817554551504,5.03847528738876,64.264917961416,64.3022762189698,961,2.54970025812628
53,9.83670675662462,10.3679272339902,9.23685488907909,0,56.1932211946669,730,1.13107234491116
54,9.64179070062372,11.9923161361142,7.2519705177986,0,56.3241555946855,813,4.74034561831556
55,3.4307992202729,5.10322730678794,1.7386075452953,0,45.7598916735518,763,3.36461976149264
56,7.53827474341219,6.75965665236052,8.41784170336552,0,57.3194196790404,863,-1.65818505100501
57,7.51035680876654,7.81878504947297,7.19478490747417,0,41.4841047084431,693,0.624000141998808
74,6.88568387217967,8.32815812578967,5.51450381679389,54.4280019202271,53.4822790687391,894,2.81365430899577
75,8.52956173567052,9.24967552203986,7.78367708120618,62.4478605043843,56.7295215320383,967,1.46599844083368
76,10.9346334598276,13.8055222088836,7.78234735843088,63.5281847653992,52.172856932804,942,6.02317485045268
64,10.4148754790668,10.4635469744126,10.3601930932046,0,50.4363774286693,715,0.103353881208044
66,9.55488927665892,10.8504826079038,8.09758895466743,0,55.6506041878056,851,2.75289365323641
67,3.78206694356218,5.05365652963966,2.63125232716892,77.8402150012216,75.3109552327697,741,2.42240420247074
68,12.4882799181725,13.6561327906791,11.1497301747004,24.7826457551995,51.4795110953939,813,2.50640261597867
70,9.88307142325166,13.7264348554671,5.91580358494238,95.4728744853121,62.351535030795,930,7.81063127052473
69,7.71568047006781,9.4130216737168,5.93261103603088,48.2590288095265,53.5357676837872,816,3.48041063768592
72,9.48799617055748,13.4046795064701,5.73344872349632,56.6103910449959,58.198226084886,904,7.67123078297374
9,9.45228390952048,12.0079153299553,6.43287283032235,0,40.5383306466058,523,5.57504249963297
10,5.99507963226725,7.40893514405382,4.52292850535219,0,43.6254162638307,590,2.88600663870163
14,6.64437509288156,7.79134715516425,5.62343754388922,0,46.7388460758467,483,2.16790961127504
15,13.4540941098399,14.6269457863661,12.2638472775893,0,37.9007291350894,602,2.36309850877675
1,4.51603493226859,4.31654676258993,4.71899367367957,0,38.0932585890645,643,-0.402446911089637
2,6.60477531099919,6.00809118139028,7.20349733601358,0,40.0409559294405,682,-1.1954061546233
3,6.09315285937352,6.06316643290468,6.1244272118435,0,39.564301854137,739,-0.0612607789388209
6,10.3001710681065,12.0088916459884,8.47077706442329,0,45.2927618378812,665,3.53811458156513
7,9.21370401572592,9.93055746164192,8.4629315548912,0,39.494957965125,730,1.46762590675072
8,6.35653740906361,7.58826482235484,5.22569577796554,0,37.5658072193574,632,2.36256904438931
16,8.64167019724144,9.74451471494783,7.46848662958735,0,43.6585604203714,551,2.27602808536048
4,7.2807037483236,6.1885897177645,8.40741681483363,0,40.1412462114459,791,-2.21882709706913
